benchmark,status,baseline_time_us,mechanism_time_us,speedup_pct,baseline_wg,mechanism_wg,baseline_max_wg_reached,mechanism_max_wg_reached,dram_trans_delta_pct,dram_bytes_delta_pct,dram_latency_delta_pct,l1v_latency_delta_pct,l2_latency_delta_pct,cpi_vmem_delta_pct,cpi_total_delta_pct,runtime_improvement_pct,dram_trans_improvement_pct,dram_bytes_improvement_pct,dram_latency_improvement_pct,l1v_latency_improvement_pct,l2_latency_improvement_pct,cpi_vmem_improvement_pct,cpi_total_improvement_pct,au_coalesce_pct,dir_avg_size,baseline_dram_read_mb,mechanism_dram_read_mb,baseline_dram_latency_ns,mechanism_dram_latency_ns,baseline_l2_dram_read_issued_mb,baseline_l2_dram_read_useful_mb,baseline_l2_dram_read_overfetch_pct,mechanism_l2_dram_read_issued_mb,mechanism_l2_dram_read_useful_mb,mechanism_l2_dram_read_overfetch_pct
floydwarshall,full_max_wg,13.142000000000001,13.224,-0.6200846944948601,78600.0,78600.0,1.0,1.0,-20.00664683693647,59.98670632612706,-14.300114128078212,-4.096846608534211,-12.447466274767038,1.9875018655383547,0.7842076708059587,-0.6200846944948601,20.00664683693647,-59.98670632612706,14.300114128078212,4.096846608534211,12.447466274767038,-1.9875018655383547,-0.7842076708059587,19.76563227411181,1.061084312671,38.51456,61.618176,43.422963826251674,37.213430441303565,,,,,,
fulllayer-1gb,full_max_wg,9.392,9.392,0.0,78600.0,78600.0,1.0,1.0,-49.850346450170804,0.29930709965839686,-39.27641129716692,-24.13035408520472,-27.125758304707446,-0.5175315838257033,-0.057245903388847275,0.0,49.850346450170804,-0.29930709965839686,39.27641129716692,24.13035408520472,27.125758304707446,0.5175315838257033,0.057245903388847275,49.965032112176985,1.001985627837,21.788992,21.854208,58.43415248213398,35.483314415237366,,,,,,
fulllayer-7bcompute,full_max_wg,24.971,25.081,-0.43857900402695105,78600.0,78600.0,1.0,1.0,-50.132826713464596,-0.26565342692920213,-37.25998479697063,-11.569401465895268,-26.758262059803396,-0.8798989226361908,0.6836910436821109,-0.43857900402695105,50.132826713464596,0.26565342692920213,37.25998479697063,11.569401465895268,26.758262059803396,0.8798989226361908,-0.6836910436821109,49.84210782011627,1.008041473976,7.950208,7.929088,61.101923846017485,38.3353563103348,,,,,,
fulllayer-gemm-debug,full_max_wg,19.912,20.378,-2.286779860634025,78600.0,78600.0,1.0,1.0,-50.0104181136269,-0.020836227253784312,-40.30428189635313,-7.034589251296586,-25.40957998038007,0.3105478335477363,2.9402595528849718,-2.286779860634025,50.0104181136269,0.020836227253784312,40.30428189635313,7.034589251296586,25.40957998038007,-0.3105478335477363,-2.9402595528849718,49.21682071544486,1.028409445956,3.685888,3.68512,62.86636202944856,37.528526259117704,,,,,,
fulllayer-gemm-tiny,full_max_wg,13.200000000000001,13.127,0.5561057362687638,78600.0,78600.0,1.0,1.0,-49.91781857879506,0.16436284240988197,-39.26846415278785,-24.22446182022947,-27.20870721916716,-1.1489131259818874,0.978101594378944,0.5561057362687638,49.91781857879506,-0.16436284240988197,39.26846415278785,24.22446182022947,27.20870721916716,1.1489131259818874,-0.978101594378944,49.96049160598582,1.002240441195,20.987712,21.022208,58.45970427800793,35.5034762597726,,,,,,
fulllayer-large,full_max_wg,26.767999999999997,26.698999999999998,0.25843664556723933,78600.0,78600.0,1.0,1.0,-50.11545472959287,-0.23090945918573524,-38.1884004526743,-12.324832907740246,-26.6710646387615,-0.494127561130675,-0.011974302513129143,0.25843664556723933,50.11545472959287,0.23090945918573524,38.1884004526743,12.324832907740246,26.6710646387615,0.494127561130675,0.011974302513129143,49.86768717176241,1.006863838409,9.47904,9.457152,60.09454600634664,37.145400127226395,,,,,,
gpt,paired_short,133.286,132.674,0.46128103471667625,106.0,106.0,0.0,0.0,-46.64938911514254,6.701221769714927,-13.50679194504092,-3.123221196804238,-7.6271778663153045,-3.7795208868069086,-0.45707344302087227,0.46128103471667625,46.64938911514254,-6.701221769714927,13.50679194504092,3.123221196804238,7.6271778663153045,3.7795208868069086,0.45707344302087227,46.64938911514254,1.243850520341,0.172864,0.184448,39.388225101814136,34.06813948646772,,,,,,
im2col,full_max_wg,34.022,34.128,-0.3105954055321214,78600.0,78600.0,1.0,1.0,-19.094309662052467,61.811380675895066,-17.943161566973853,-4.887276457833201,-12.845448024911377,-0.1551896809096176,0.04043716233286254,-0.3105954055321214,19.094309662052467,-61.811380675895066,17.943161566973853,4.887276457833201,12.845448024911377,0.1551896809096176,-0.04043716233286254,19.002432854193525,1.077243728201,19.829824,32.086912,41.948992983498,34.42201739675043,,,,,,
kmeans,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kvcache,full_max_wg,9.2,9.133000000000001,0.7336034161830707,78600.0,78600.0,1.0,1.0,-50.17588512840214,-0.35177025680429574,-38.2983458681765,-23.290862342591666,-26.206158518086674,-8.543872525381124,-0.1464688834677319,0.7336034161830707,50.17588512840214,0.35177025680429574,38.2983458681765,23.290862342591666,26.206158518086674,8.543872525381124,0.1464688834677319,49.96390239206816,1.002037604723,21.323008,21.248,57.35225845809396,35.387292150602626,,,,,,
